symbol,direction,entry_time,close_time,holding_minutes,holding_hours,entry_price,close_price,pnl,close_reason,probability,quality_score
SHIB/USDT:USDT,long,2026-01-27T19:28:07,2026-01-27T19:46:40,18.55,0.31,7.773e-06,7.806e-06,0.43,Take Profit достигнут (0.00),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T19:40:05,2026-01-27T19:40:12,0.12,0.0,2977.7,2977.07,-0.02,Take Profit достигнут (2958.15),45.6,26.0
ETH/USDT:USDT,long,2026-01-27T19:40:06,2026-01-27T19:40:10,0.07,0.0,2977.7,2977.35,-0.01,Take Profit достигнут (2958.15),0.0,0.0
SHIB/USDT:USDT,short,2026-01-27T17:39:51,2026-01-27T19:20:24,100.55,1.68,7.668e-06,7.781e-06,-1.46,Stop Loss достигнут (0.00),45.6,31.0
SHIB/USDT:USDT,short,2026-01-27T17:40:10,2026-01-27T19:20:22,100.2,1.67,7.668e-06,7.781e-06,-1.46,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,short,2026-01-27T17:40:53,2026-01-27T19:20:21,99.47,1.66,7.668e-06,7.781e-06,-1.46,Stop Loss достигнут (0.00),0.0,0.0
BTC/USDT:USDT,short,2026-01-27T17:41:14,2026-01-27T19:20:18,99.07,1.65,87460.3,88300.1,-0.96,Stop Loss достигнут (87991.77),45.6,26.0
SHIB/USDT:USDT,short,2026-01-27T17:41:14,2026-01-27T19:20:16,99.03,1.65,7.668e-06,7.781e-06,-1.46,Stop Loss достигнут (0.00),0.0,0.0
BTC/USDT:USDT,short,2026-01-27T17:41:36,2026-01-27T19:20:14,98.63,1.64,87460.3,88299.9,-0.96,Stop Loss достигнут (87991.77),0.0,0.0
BTC/USDT:USDT,short,2026-01-27T17:41:58,2026-01-27T19:20:11,98.22,1.64,87460.3,88286.8,-0.94,Stop Loss достигнут (87991.77),0.0,0.0
XRP/USDT:USDT,short,2026-01-27T17:41:58,2026-01-27T18:50:41,68.72,1.15,1.8818,1.893,-0.6,Stop Loss достигнут (1.89),92.0,26.0
XRP/USDT:USDT,short,2026-01-27T17:42:23,2026-01-27T18:50:38,68.25,1.14,1.8818,1.8927,-0.58,Stop Loss достигнут (1.89),0.0,0.0
DOGE/USDT:USDT,short,2026-01-27T17:42:27,2026-01-27T18:50:36,68.15,1.14,0.12203,0.12322,-0.97,Stop Loss достигнут (0.12),45.6,26.0
XRP/USDT:USDT,short,2026-01-27T17:42:27,2026-01-27T18:50:34,68.12,1.14,1.8818,1.8927,-0.58,Stop Loss достигнут (1.89),0.0,0.0
ETH/USDT:USDT,short,2026-01-27T17:13:01,2026-01-27T17:42:43,29.7,0.49,2962.68,2929.32,1.13,Take Profit достигнут (2929.36),45.6,26.0
ETH/USDT:USDT,short,2026-01-27T17:13:12,2026-01-27T17:42:42,29.5,0.49,2962.68,2929.01,1.14,Take Profit достигнут (2929.36),0.0,0.0
RIVER/USDT:USDT,long,2026-01-27T17:02:26,2026-01-27T17:32:30,30.07,0.5,65.73,62.476,-4.97,Stop Loss достигнут (63.93),92.0,20.0
RIVER/USDT:USDT,long,2026-01-27T17:02:30,2026-01-27T17:32:27,29.95,0.5,66.543,62.607,-4.77,Stop Loss достигнут (64.83),0.0,0.0
RIVER/USDT:USDT,long,2026-01-27T17:24:21,2026-01-27T17:30:19,5.97,0.1,66.543,64.699,-1.57,Stop Loss достигнут (64.83),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:48:30,2026-01-27T17:24:39,156.15,2.6,6.127,6.062,-1.06,Stop Loss достигнут (6.06),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:49:22,2026-01-27T17:24:37,155.25,2.59,6.124,6.062,-1.06,Stop Loss достигнут (6.06),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:52:34,2026-01-27T17:24:35,152.02,2.53,6.124,6.061,-1.08,Stop Loss достигнут (6.06),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:54:04,2026-01-27T17:23:51,149.78,2.5,6.124,6.055,-1.18,Stop Loss достигнут (6.06),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:55:29,2026-01-27T17:23:50,148.35,2.47,6.124,6.057,-1.14,Stop Loss достигнут (6.06),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:57:00,2026-01-27T17:23:48,146.8,2.45,6.124,6.058,-1.13,Stop Loss достигнут (6.06),0.0,0.0
LTC/USDT:USDT,long,2026-01-27T16:23:51,2026-01-27T17:18:33,54.7,0.91,70.07,69.65,-0.6,Stop Loss достигнут (69.73),47.6,29.0
LTC/USDT:USDT,long,2026-01-27T16:24:30,2026-01-27T17:18:31,54.02,0.9,69.96,69.69,-0.54,Stop Loss достигнут (69.71),0.0,0.0
LTC/USDT:USDT,long,2026-01-27T16:36:08,2026-01-27T17:18:29,42.35,0.71,69.96,69.69,-0.54,Stop Loss достигнут (69.71),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:57:47,2026-01-27T17:17:38,139.85,2.33,6.136,6.076,-0.83,Stop Loss достигнут (6.08),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T15:00:10,2026-01-27T17:17:36,137.43,2.29,6.136,6.078,-0.8,Stop Loss достигнут (6.08),0.0,0.0
DOT/USDT:USDT,long,2026-01-27T15:08:58,2026-01-27T17:15:41,126.72,2.11,1.861,1.844,-0.91,Stop Loss достигнут (1.85),77.0,23.0
XRP/USDT:USDT,long,2026-01-27T16:05:20,2026-01-27T17:15:39,70.32,1.17,1.9079,1.891,-0.89,Stop Loss достигнут (1.90),92.0,20.0
XRP/USDT:USDT,long,2026-01-27T16:12:12,2026-01-27T17:14:37,62.42,1.04,1.9079,1.8956,-0.64,Stop Loss достигнут (1.90),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T16:12:53,2026-01-27T17:14:36,61.72,1.03,1.9067,1.8956,-0.64,Stop Loss достигнут (1.90),0.0,0.0
